# RA_1_1    DEC_1_1      PLATE MJD   FIBERID REDSHIFT  LOG_L1350          LOG_L1350_ERR         LOG_L3000          LOG_L3000_ERR         LOG_MBH            LOG_MBH_ERR          Band Cont._sens.         
  180.42602 -0.27775702  285   51930 114     1.9935    46.75607782430026  0.0020535432026270815 46.305147267206166 0.0026133690112559826 9.63710252217828   0.08376658199162153  7    0.0939482087284993  
  185.16436 0.074346416  288   52000 516     2.0474    46.82688299993151  0.0012250002371783158 46.61119353254065  0.0011891279576729916 9.646079303113098  0.016955987844512865 7    0.093948010689722   
  341.70542 -0.83176345  378   52146 85      2.0377    46.777908459732934 0.0014037506290475454 46.6333883311024   0.001932280827895055  9.455234966938526  0.023267062064401368 7    0.0747847846346395  
  177.2514  1.8547679    515   52051 310     2.0619    46.77164686410611  0.0016067044047341605 46.60667987562293  0.001494467760948279  9.654309325936946  0.04165351846146963  7    0.08880273946924507 
  349.29934 -10.563913   645   52203 250     1.9977    46.88356762702894  0.0013202909314425754 46.51974321192577  0.0036443955072466686 9.753212939496258  0.032070276552266706 7    0.10247465559821206 
  356.47729 -11.075566   648   52559 123     1.9381    46.717300270195025 0.0019715311155604296 46.40637857868375  0.003652733765744556  9.756751514630066  0.02230246364483465  7    0.10247498957026635 
  354.6953  0.5375269    682   52525 509     2.1016    45.52625056322757  0.007775510746946867  -999.0             -999.0                8.21876716636052   0.19848415264704275  7    0.9632369120916159  
  217.80478 -0.87734649  918   52404 569     1.6369    -999.0             -999.0                45.744776815608034 0.006064329464010512  8.94856463205014   0.09588997558034054  6    0.08195605975498295 
  154.61606 5.5083329    997   52734 97      1.9383    45.9873923358232   0.005049270603300131  46.08514762722273  0.011267802551704613  8.86868762836358   0.12828715324830817  6    0.16515475319688616 
  217.95039 5.5994716    1828  53504 300     2.0966    47.07656883429073  0.0010875893981113012 -999.0             -999.0                9.599007993884424  0.032879646380343755 7    0.10165896289333315 
  197.74752 32.559556    2093  53818 298     1.635     -999.0             -999.0                46.450728467959046 0.0017211273700474044 9.432737953948763  0.5103788630264834   6    0.20513279757320899 
  134.73336 1.8720604    3816  55272 738     2.172     46.761774613211166 5.686053066654542E-4  46.5165351268841   8.318804083168805E-4  9.913345925322112  0.030072986266501078 6    0.07071966112546156 
  153.95419 0.33889593   3831  55543 530     4.4       46.529575200327706 0.0041282598512208625 -999.0             -999.0                9.689653682604561  0.05142417800519152  7    0.03451910091374243 
  230.02282 20.268186    3950  55680 316     1.572     -999.0             -999.0                45.6206636656821   0.007585882237455827  8.848509448563956  0.0969412205879545   7    0.029701696768406647
  211.87247 1.205139     4033  55332 168     3.06      46.2796879188806   0.0024579665961035942 -999.0             -999.0                9.946265429619762  0.16654546258143596  6    0.19005772611079746 
  212.07317 -1.242253    4034  55635 364     1.944     46.61209560524053  0.0011138939236988261 46.516782083030535 9.693272599179041E-4  9.331948895245693  0.03673450719517541  7    0.07109243335264401 
  205.39249 1.6993588    4039  55648 487     4.65      46.81683246531625  0.0034331176652056014 -999.0             -999.0                9.858718359580896  0.15678739861200813  7    0.05368432919063804 
  201.72897 -0.091698816 4050  55599 814     3.307     45.846082028417165 0.008203433356616012  -999.0             -999.0                8.016068607667968  0.09874717656976638  6    0.04179918796957904 
  241.89261 16.071508    4072  55362 384     4.76      46.6548181139651   0.003428822204010942  -999.0             -999.0                9.559042595475113  0.08566438047138955  7    0.029174470545045014
  253.65356 22.459393    4178  55653 608     4.696     46.92404777922202  0.0015658164421031694 -999.0             -999.0                9.982418218267195  0.03238404398119801  7    0.04091248366046251 
  321.94762 0.82486432   4193  55476 918     2.261     47.04632268744992  5.118081558384586E-4  46.885584975082296 0.002289901886614823  10.040999214518816 0.01759385706693394  6    0.06690713674982578 
  322.41501 0.81265322   4193  55476 952     2.266     46.06446990479624  0.0021404686462474327 45.86866261422563  0.004750126311102826  8.984476333896785  0.23903944546988642  6    0.06690714193033805 
  323.76932 -0.21991833  4195  55452 438     1.753     45.1070575227918   0.007995525379728443  45.44464278849805  0.009370103125931088  9.646741293437994  0.0587990790186905   6    0.047874189960814224
  324.89934 -0.87125296  4195  55452 210     2.522     46.11839749778838  0.002198046324632846  -999.0             -999.0                9.275944588305606  0.16464465780938345  6    0.04787419940012872 
  327.68436 0.70826885   4196  55478 984     1.542     -999.0             -999.0                45.26096406420903  0.0069438029828383    8.854845836950691  0.036546777798086925 6    0.04787422353184635 
  328.63135 0.20732156   4197  55479 860     1.763     45.22093904877789  0.005329364273023797  45.371696969879615 0.0057991848707501644 8.546454909975198  0.11811347289933603  6    0.07708480081576985 
  327.56027 0.92784271   4197  55479 628     2.325     46.64269434556473  8.855387773431063E-4  46.24983995683832  0.001039044240731992  9.51992571345619   0.06970870064414411  6    0.047874222400461804
  332.84316 0.79776546   4200  55499 677     2.38      45.75726711947452  0.0033541970352249633 45.60110153974141  0.004091381803068711  8.759537695110321  0.13808591763720052  6    0.0672071850439896  
  335.24576 0.98806777   4201  55443 832     2.644     46.36968401472476  0.001359423826261326  -999.0             -999.0                9.480800444271944  0.07341250260787048  6    0.06720722510319817 
  334.40225 0.27293554   4201  55443 614     3.091     45.650834841353216 0.005920218572885857  -999.0             -999.0                7.778912805716954  0.3147350575682559   7    0.2393161079977859  
  335.13541 0.42707466   4202  55445 501     4.196     46.393833074211685 0.003658595560755372  -999.0             -999.0                8.739550726741323  0.05472505158246098  7    0.024159946219238285
  336.6939  0.86981104   4202  55445 836     2.247     44.83997918017791  0.011383847172728306  45.484075748828445 0.007557892962557436  8.083237062906909  0.38539262429012516  6    0.06720725012519577 
  338.10863 0.96210229   4203  55447 764     2.699     45.7533619461386   0.004364380957839167  -999.0             -999.0                8.930752864732659  0.2541825896694833   6    0.06720727525695766 
  350.93459 -1.0466878   4210  55444 44      2.103     45.361430922704066 0.0057810297550788025 45.477197053762715 0.010386303321367741  8.188437802005428  0.18387969692198455  6    0.07553986475930283 
  349.9857  -1.0312764   4210  55444 242     2.6       45.796630079143114 0.003581213439110461  -999.0             -999.0                8.346810686440893  0.368381999177584    6    0.07553985917113111 
  354.24809 0.64540888   4212  55447 932     2.717     46.4189431852893   0.0012422160906455505 -999.0             -999.0                9.674660702923825  0.08678182275174627  6    0.06268268772710736 
  354.36832 0.75936868   4212  55447 952     2.722     46.26624856741476  0.0018301029707610877 -999.0             -999.0                9.741762617728098  0.2858098011940575   6    0.0626826892967859  
  354.85275 0.73225573   4213  55449 716     2.439     45.36643836093968  0.00664604625638987   45.7742416801474   0.005454143372876241  8.966896991716897  0.22895933302895     7    0.9632368828814921  
  353.89297 0.23206032   4213  55449 532     2.266     45.922355655725426 0.002864377161298148  45.822665656542    0.0028301265528994967 9.02413853940074   0.07884773724746866  6    0.06268268184105359 
  357.12674 0.65514898   4214  55451 852     1.998     46.50283831103585  8.740500760423697E-4  46.46352029943609  8.312487803949369E-4  8.94225788193859   0.010069306243082351 6    0.06268273476210096 
  359.64434 -0.80972906  4215  55471 42      2.272     46.05175305970251  0.0025536283842982274 45.91828344406411  0.002208819803241799  9.040886008663975  0.06402211281214097  6    0.06268277697281079 
  359.26684 -1.1875459   4215  55471 81      2.142     45.50412439692927  0.007544010513373425  45.473583798198504 0.007582074944288997  8.888993404720502  0.05506764641740985  6    0.06268277042466197 
  359.28623 0.65825169   4215  55471 929     2.495     46.0166762678268   0.0026764325457111875 -999.0             -999.0                9.28703199071799   0.028900715284565975 6    0.06268277070644587 
  359.40544 0.59618819   4215  55471 925     2.376     45.60662754581857  0.006427542483896318  45.74302013120864  0.00509884063283484   9.194307719767085  0.2051593964330927   6    0.06268277250569185 
  3.5045478 -1.1019941   4218  55479 248     2.103     45.72342256983611  0.0031298173578389677 45.7531774036877   0.004787238920040299  8.632499684839566  0.05741164240944153  7    0.9632374094044225  
  2.8411196 -0.15516989  4218  55479 394     3.009     46.74520042109421  7.761559713184905E-4  -999.0             -999.0                10.083117476751058 0.04169868989297028  7    0.9605866557422721  
  15.815379 0.59005402   4226  55475 560     2.07      45.72907614260591  0.004023373717363326  45.48873398183538  0.00345239553265353   9.274172432961258  0.07805859040089361  7    0.8044048396395762  
  22.191619 0.64523164   4229  55501 806     2.759     45.7066997681353   0.004351413488153507  -999.0             -999.0                9.103441393893448  0.10009910497806603  7    0.8044052775255994  
  14.559672 1.2584021    4308  55565 174     2.529     46.86339934109065  6.604887624006141E-4  -999.0             -999.0                10.462918464528398 0.09220246917137491  6    0.05925108247268867 
  16.968851 1.3936076    4311  55506 86      3.525     46.565569346942056 0.0021245906769820537 -999.0             -999.0                10.196919193624785 0.14564378490525562  7    0.8044048122082484  
  128.62269 21.673512    4484  55565 678     4.508     46.54937274086273  0.005103384225618084  -999.0             -999.0                9.618473636357646  0.10426882649158056  7    0.03333083843085527 
  124.41886 13.859603    4504  55571 804     4.37      46.53958424245982  0.0037968942621535925 -999.0             -999.0                9.49767399918937   0.0735438605284431   7    0.032798977494193304
  121.81299 13.468105    4505  55603 810     4.87      46.644454507546364 0.0027317244322786816 -999.0             -999.0                9.372811915647763  0.1559919675459538   7    0.029800914175088147
  227.98326 4.1341644    4776  55652 108     4.65      46.53145450371043  0.004392434878406489  -999.0             -999.0                9.34619511758387   0.1683106025636791   7    0.05581826160395086 
  214.58009 4.6930795    4782  55654 856     2.53      46.757178230216795 8.727263328943528E-4  -999.0             -999.0                10.020938448297928 0.04743978823413301  6    0.06285089412080029 
  187.07315 5.381532     4833  55679 222     2.018     46.78104862715168  7.857834594345353E-4  46.639735806857274 9.91144979783255E-4   9.526308239991879  0.017957380198203584 7    0.09023175565001094 
  189.20597 5.006476     4834  55685 196     1.943     46.718102444812224 8.385246251239058E-4  46.52730499802393  9.528124033836269E-4  9.798056523106863  0.029526013121473696 7    0.09023165954214211 
  339.07998 13.438974    5043  56187 4       3.302     46.80809919551612  0.001250201893243741  -999.0             -999.0                9.617027736955572  0.02358819939872614  8    0.07285166145602517 
  341.22112 13.775457    5044  56186 926     4.65      46.38761033810127  0.005914290571350698  -999.0             -999.0                9.596145339489748  0.3379556173907164   7    0.03391514733663653 
  321.20951 1.0325148    5143  55828 427     1.732     46.31793577950524  0.0012838456833218286 46.14755409906689  0.0012161064946962824 9.53863858097261   0.030603112335278716 6    0.06690712908540813 
  321.61688 0.65332842   5143  55828 375     1.775     45.949449785184015 0.0018481348682201438 45.903191294010085 0.003293598709271568  8.992858741719903  0.09657455753387327  6    0.06690713353364881 
  329.02174 0.44239352   5147  55854 249     1.891     45.54508337786351  0.005003676202094583  45.24428168729209  0.006546184867179791  8.549592318809317  0.31071092594006156  6    0.07708480104432691 
  329.12051 1.0911761    5147  55854 228     1.974     45.52793948488881  0.005126339604331675  45.23001970597493  0.00862897261721684   8.676747349986323  0.06336513750747882  6    0.04787423649417739 
  143.78541 8.0206986    5314  55952 340     4.655     46.51960398916721  0.005865837632014103  -999.0             -999.0                9.15924953379426   0.20254447083857074  7    0.038227644922951075
  163.6893  16.560383    5358  56016 536     5.135     46.35760285579166  0.009076245434299692  -999.0             -999.0                9.311276863778552  0.21767759857206648  7    0.04536766409000627 
  190.52548 14.322506    5405  56010 984     1.973     46.76717862259062  9.058728985137526E-4  46.66183743045208  8.397240121613037E-4  9.547872898537273  0.0661074573198903   7    0.09695007580921863 
  193.4723  10.767552    5415  55982 608     4.911     46.68740549098563  0.003412072573072638  -999.0             -999.0                9.203848292469994  0.07044414245283305  7    0.027899930675978856
  193.12852 14.435894    5416  56002 502     1.944     47.148605785545264 9.42644489657526E-4   46.88956965792893  0.0018675243013006576 9.502432252541173  0.05510310534324483  7    0.09694993716257226 
  205.37976 23.845378    5998  56087 922     2.23      46.35165001918095  0.0015559878880662124 46.17616887989787  0.0025479369907431284 9.256447276717918  0.027567671303666542 6    0.13782018857403516 
  220.87988 27.41022     6023  56069 112     4.43      46.73686405491584  0.002525001613394154  -999.0             -999.0                9.942820913631955  0.19448704426422864  7    0.0379699299617383  
  5.1050866 15.681866    6185  56217 348     2.019     46.70869024225854  7.47265409300431E-4   46.64766863450219  9.073931749399769E-4  9.393598511287442  0.019530022733569553 6    0.03162599907835092 
  7.8616574 15.127646    6192  56269 290     4.29      46.29302889472984  0.005928968299093065  -999.0             -999.0                8.520624698245825  0.25578433876883255  7    0.023902562330694346
  180.29297 21.299579    6407  56311 964     4.579     46.82313165178199  0.0021187708940348664 -999.0             -999.0                10.130841915387293 0.09117724387077769  8    0.067087934635881   
  1.05682   -8.9248838   7167  56604 942     2.435     46.737743729395085 7.581302153700341E-4  46.74334068350199  7.473656055166409E-4  9.848358548625864  0.025273522640014725 6    0.020140626223955214
  21.752878 -0.76644002  7818  56989 170     4.105     47.056764444124056 0.0010969505667813692 -999.0             -999.0                10.014090114579792 0.09226516225207011  7    0.8044054278740147  
  358.1587  1.097877     7848  56959 545     2.153     46.72791708419404  3.842305833376525E-4  46.7896134656464   3.7577813386274734E-4 9.894488049092455  0.022786437222510468 7    0.9632368952769652  
  358.46895 0.46146379   7848  56959 611     2.5135508 45.39463754018158  0.00484516883086252   -999.0             -999.0                9.09086551414968   0.23400909661300878  6    0.0626827566057751  
  357.68628 0.56391953   7849  56980 364     1.5756849 -999.0             -999.0                45.15955996862178  0.011158226341808564  8.518871735337962  0.07531504507925112  6    0.07553987871867085 
  17.161526 1.5834108    7859  57282 340     2.1088977 46.75598300064282  6.858243911039192E-4  46.84753497670306  8.256720867171905E-4  9.4052382427163    0.09328911826504524  6    0.03980339953629771 
