# plate	mjd	fiber	RA	DEC	REDSHIFT	A1	wl1	sigma1	FWHM1	EW1	A2	wl2	sigma2	FWHM2	EW2	A3	wl3	sigma3	FWHM3	EW3	EW_T	FWHM_T	g_no	R2	wl_T	vel_peak	wl_broad	vel_broad	LOG_L1350	LOG_L1350_ERR	LOG_L3000	LOG_L3000_ERR	LOG_MBH	LOG_MBH_ERR	Band	Cont_sens
500	51994	153	149.9916	1.7242806	1.6274	5.971	1535.086	8.639	20.344	21.659	6.597	1550.367	11.772	27.720	29.508	1.969	1551.350	45.376	106.852	82.677	42.455	33.24217723625679	3	0.3189912235911141	1538.770	2072.142	1551.350	-2450.797	-999.0	-999.0	45.28149573904518	0.014725224796044932	8.91906779040886	0.28326478133459637	6	0.09271104950609337
500	51994	556	150.0589	2.0151552	2.4978	16.471	1547.395	10.399	24.487	26.066	13.994	1548.797	2.831	6.668	7.096	4.986	1542.588	46.105	108.568	82.481	26.665	26.45919543699597	3	0.9390524829778752	1544.561	951.781	1542.588	382.813	46.12555249351021	0.0035150152134756796	-999.0	-999.0	8.6285274187198	0.04344381026382889	7	0.1171194928449044
500	51994	446	149.47793	2.6424256	1.6003	11.661	1558.050	0.000	0.000	nan	19.222	1543.723	23.427	55.166	56.402	0.000	1544.086	84.827	199.753	nan	56.402	0.0	1	0.4103600164115899	1540.907	1658.693	0.000	-9999.000	-999.0	-999.0	45.57788350535975	0.005339933055781214	8.852834660351986	0.09894677109427068	6	0.09271106249997538
501	52235	313	149.95581	2.0280977	1.7535	24.251	1542.723	17.169	40.430	42.737	31.743	1547.152	3.868	9.109	9.697	0.000	1541.945	50.087	117.946	nan	24.343	11.67561760400713	2	0.9145469169321301	1542.109	1426.230	1542.723	-119.457	-999.0	-999.0	45.73306220410095	0.006727649199933183	8.119506614435542	0.8518892620848947	7	0.11834552933738579
3922	55333	972	241.1728	16.760651	2.934	24.071	1533.776	64.677	152.302	88.526	23.197	1545.587	16.491	38.833	41.200	37.746	1549.575	7.585	17.861	19.018	45.421	0.0	3	0.9401506636539804	1547.624	359.039	1533.776	2682.567	47.296915560048326	0.0004716761705642466	-999.0	-999.0	10.011432400222727	0.027624935427405146	7	0.12086585403370974
3931	55350	832	238.60899	19.617504	4.612	0.000	1534.994	18.747	44.146	nan	0.000	1535.027	18.747	44.145	nan	7.158	1532.977	25.843	60.856	57.928	57.928	0.0	1	0.3939340601358484	1532.436	3297.682	0.000	-9999.000	46.59299205495324	0.003856021838201603	-999.0	-999.0	9.989226455505312	0.23733894745977496	7	0.12086597119024174
4015	55624	678	224.3244	2.79651	1.975	96.011	1544.000	0.000	0.000	nan	96.011	1544.000	0.000	0.000	nan	57.606	1544.000	0.000	0.000	nan	nan	0.0	0	0.015173047235341186	1500.075	9558.785	0.000	-9999.000	46.99280749482773	0.00042267548661136575	46.97019136093345	0.00040685909412516326	9.082245296085603	0.021103580248655916	7	0.10972475244166413
4197	55479	30	329.2678	-0.37160524	2.245	4.190	1500.000	0.000	0.000	nan	4.190	1500.000	0.000	0.000	nan	2.514	1500.000	0.000	0.000	nan	nan	0.0	0	0.022172897477181097	1499.979	9577.378	0.000	-9999.000	45.54264588252834	0.005202429975025651	45.46071765406113	0.011216013462183183	9.186556903642407	0.05737591977702032	6	0.07708481076279919
4198	55480	630	329.18008	0.86312203	2.436	8.610	1542.752	11.065	26.055	27.737	6.484	1547.528	4.962	11.685	12.438	1.704	1561.188	146.897	345.915	97.709	30.048	21.948294605406318	3	0.9555960687775236	1545.777	716.494	1561.188	-2988.855	45.73561694067046	0.004282291479437981	45.60721073504452	0.012401197384060933	8.83456367674369	0.03157658947998807	6	0.07708479856307178
4198	55480	16	331.02243	-0.33988445	2.199	22.574	1548.111	6.592	15.522	16.556	18.927	1552.438	3.935	9.266	9.867	14.496	1549.164	19.893	46.845	49.246	24.188	16.839842577963964	3	0.9863443046259847	1546.984	482.987	1549.164	-422.560	46.247707923963496	0.0015726422729395765	45.90178041263074	0.0030023554605199277	8.875856458123053	0.015256384400257787	6	0.06720715493893183
4200	55499	153	333.57935	-0.19609092	2.489	8.815	1544.998	10.773	25.369	27.005	8.928	1549.750	4.422	10.413	11.090	6.191	1549.317	40.394	95.119	79.180	35.624	22.899088261273846	3	0.9566276322665159	1548.456	198.041	1549.317	-166.708	46.067244866475924	0.0017349347425642712	-999.0	-999.0	9.049289782965873	0.027555092292604628	6	0.06720719663104371
4200	55499	580	332.44542	0.2370389	2.219	1.921	1541.561	17.582	41.404	43.655	1.433	1559.294	13.244	31.186	33.160	0.000	1600.000	55.966	41.404	nan	46.218	44.39252112024542	2	0.32063810587973796	1551.597	-409.601	1541.561	1939.050	45.57191765070438	0.004846350916910393	45.466246596884574	0.006778351963121223	8.371572114859045	0.3387638462780659	6	0.067207178086435
4201	55443	364	334.64541	-1.248202	1.903	9.407	1600.000	0.000	0.000	nan	9.407	1600.000	0.000	0.000	nan	5.644	1600.000	0.000	0.000	nan	nan	0.0	0	0.0027664927777971693	1499.868	9598.939	0.000	-9999.000	45.48890528991058	0.00271448700063519	45.951997955618	0.0023331018786071985	8.336360667212913	0.2026285234681574	6	0.06720721388110454
4201	55443	356	334.69717	-0.22456552	2.558	2.909	1544.607	57.115	134.495	87.969	2.507	1552.664	8.846	20.830	22.173	0.432	1555.039	0.000	0.000	nan	57.813	0.0	2	0.2863798545672448	1544.522	959.303	1544.607	-16.447	45.9053922177127	0.0020555639784512318	-999.0	-999.0	9.239232633776691	0.47665313817781546	6	0.06720721510523248
4201	55443	530	333.93105	0.35469381	2.31	0.000	1545.821	5.026	11.836	nan	0.000	1545.787	3.550	8.360	nan	1.881	1544.577	32.672	76.937	71.053	71.053	0.0	1	0.18165122763911457	1543.022	1249.575	0.000	-9999.000	45.468442573959884	0.007174429975058613	45.63328097694257	0.0047846664042950635	9.785959154794233	0.20954767167258384	6	0.0672072023654627
4202	55445	216	336.80832	-0.99960218	2.228	11.907	1551.866	2.714	6.390	6.803	8.517	1545.608	13.937	32.818	34.919	2.549	1564.790	98.062	230.917	94.721	28.006	36.65736792624239	3	0.9576641080081906	1548.697	151.498	1564.790	-3115.198	45.87906169651373	0.0019925874715436757	45.6111341223072	0.006680871794254767	8.346091277677239	0.07529579649766635	6	0.06720725121790651
4204	55470	22	341.37265	-0.04391	1.694	7.448	1550.304	20.628	48.575	50.886	8.966	1549.233	4.107	9.671	10.295	0.000	1549.812	11.913	48.575	nan	28.734	16.13265566441919	2	0.7059373963166082	1549.182	57.602	1550.304	-217.073	45.114297029505686	0.007446381997213071	45.01845314448112	0.01753988351249827	8.91165413464268	0.100524001185718	6	0.035561030622979536
4209	55478	695	348.10763	0.35515621	2.382	4.897	1551.226	10.142	23.882	25.425	1.834	1533.094	14.487	34.115	35.901	1.162	1573.790	106.875	251.671	93.843	43.224	34.49477221302436	3	0.8401690077565138	1547.485	385.965	1573.790	-5095.934	45.83582114259917	0.0024080714568025757	45.72178456144048	0.003839527114229866	9.300927541618437	0.052471927191422754	6	0.03556109950505615
