# plate	mjd	fiber	RA	DEC	REDSHIFT	A1	wl1	sigma1	FWHM1	EW1	A2	wl2	sigma2	FWHM2	EW2	A3	wl3	sigma3	FWHM3	EW3	EW_T	FWHM_T	g_no	R2	wl_T	vel_peak	wl_broad	vel_broad	LOG_L1350	LOG_L1350_ERR	LOG_L3000	LOG_L3000_ERR	LOG_MBH	LOG_MBH_ERR	Band	Cont_sens
307	51663	258	219.18776	-0.86403115	1.2746	7.881	2796.852	6.192	14.582	15.527	9.359	2786.343	40.448	95.248	99.444	14.290	2800.664	14.908	14.582	37.373	51.497	35.53653977005979	3	0.9732910377236432	2797.660	156.040	2786.343	1212.736	-999.0	-999.0	45.75364040083301	0.0036446765409544305	9.047555342586353	0.029832417788229686	7	0.09137771410532412
500	51994	511	149.85193	1.9984146	1.2348	3.298	2803.822	51.781	121.935	122.609	7.962	2806.525	19.234	45.293	48.213	1.496	2805.957	0.000	0.000	nan	70.029	0.0	2	0.9032217318307176	2803.247	-442.328	2803.822	-61.532	-999.0	-999.0	45.57080084584859	0.0029876655224662673	9.197870625504398	0.04317653485772654	6	0.09129919677554989
500	51994	153	149.9916	1.7242806	1.6274	1.266	2795.240	34.803	81.955	86.846	2.539	2797.431	13.525	31.849	33.903	0.844	2721.553	0.000	0.000	nan	51.554	41.45152010948459	2	0.3591679068277921	2794.949	446.434	2795.240	-31.223	-999.0	-999.0	45.28149573904518	0.014725224796044932	8.91906779040886	0.28326478133459637	6	0.09271104950609337
500	51994	590	150.23081	2.5781735	1.404	2.206	2800.785	22.853	53.815	57.284	2.204	2798.581	23.691	55.789	59.386	0.689	2805.523	52.817	124.375	124.310	67.365	60.03847793782643	3	0.8173975358509238	2794.251	521.118	2805.523	-1209.304	-999.0	-999.0	45.20273816825823	0.006409896520211354	9.044054750563138	0.040224707826589795	6	0.09919235175480579
500	51994	446	149.47793	2.6424256	1.6003	2.350	2810.862	6.948	16.360	17.425	1.941	2799.330	15.655	36.865	39.243	2.025	2813.953	19.681	16.360	49.336	37.056	30.793535496643017	3	0.6135319735151118	2809.807	-1144.913	2813.953	-442.415	-999.0	-999.0	45.57788350535975	0.005339933055781214	8.852834660351986	0.09894677109427068	6	0.09271106249997538
500	51994	493	149.58523	2.0510863	1.3551	1.040	2803.560	3.308	7.789	8.297	0.641	2804.135	12.163	28.643	30.489	1.986	2803.039	34.140	7.789	85.262	53.885	40.25177628512483	3	0.3846095419606308	2803.436	-462.573	2803.039	42.473	-999.0	-999.0	45.18744852570592	0.007744672757461973	9.109599136033157	0.1421205418103175	6	0.0915281314637775
500	51994	75	150.38402	1.5724441	1.3548	5.065	2819.209	0.000	0.000	nan	5.065	2819.209	0.000	0.000	nan	3.039	2819.209	0.000	0.000	nan	nan	0.0	0	-0.09848339028561881	2699.889	10627.585	0.000	-9999.000	-999.0	-999.0	45.12648936252939	0.00911587374588534	8.255437528733857	0.1328042124100948	6	0.09152810923896729
500	51994	623	150.6097	2.3230849	1.2923	0.275	2789.531	5.292	12.462	13.265	4.528	2804.856	8.697	20.480	21.803	1.073	2787.536	59.400	139.876	134.083	44.287	0.0	3	0.6543597914380905	2798.521	63.873	2787.536	1176.785	-999.0	-999.0	45.08110471888699	0.008843295563598176	8.310520958496156	0.15403086308901162	6	0.12602756373000792
501	52235	313	149.95581	2.0280977	1.7535	0.900	2802.775	0.000	0.000	nan	0.900	2802.753	0.000	0.000	nan	3.009	2900.000	196.662	463.103	169.532	169.532	0.0	1	0.04955208967451363	2876.173	-8252.839	0.000	-9999.000	-999.0	-999.0	45.73306220410095	0.006727649199933183	8.119506614435542	0.8518892620848947	7	0.11834552933738579
2239	53726	141	192.78158	29.594594	0.8023	4.134	2798.017	23.090	54.372	57.878	10.070	2798.848	6.516	15.343	16.333	7.992	2796.195	0.000	0.000	nan	28.429	19.128476050103473	2	0.8302694174392495	2793.013	653.792	2798.017	-537.156	-999.0	-999.0	45.14908478256782	0.005510458421844184	8.065924447582406	0.1838248457933563	6	0.041407563770151624
