# plate	mjd	fiber	RA	DEC	REDSHIFT	A1	wl1	sigma1	FWHM1	EW1	A2	wl2	sigma2	FWHM2	EW2	A3	wl3	sigma3	FWHM3	EW3	EW_T	FWHM_T	g_no	R2	wl_T	vel_peak	wl_broad	vel_broad	LOG_L1350	LOG_L1350_ERR	LOG_L3000	LOG_L3000_ERR	LOG_MBH	LOG_MBH_ERR	Band	Cont_sens
285	51930	114	180.42602	-0.27775702	1.9935	23.335	1562.930	24.345	57.329	56.708	36.309	1540.503	16.780	39.514	41.717	43.035	1545.249	6.932	16.324	17.377	37.413	29.740810630536544	3	0.9681433704078185	1543.905	1078.580	1562.930	-3694.072	46.75607782430026	0.0020535432026270815	46.305147267206166	0.0026133690112559826	9.63710252217828	0.08376658199162153	7	0.0939482087284993
288	52000	516	185.16436	0.074346416	2.0474	39.189	1546.696	6.034	14.209	15.128	68.186	1541.824	12.326	29.026	30.888	35.810	1554.437	33.064	77.861	71.582	38.084	28.685368417941163	3	0.9912759141882056	1544.794	906.630	1554.437	-1871.452	46.82688299993151	0.0012250002371783158	46.61119353254065	0.0011891279576729916	9.646079303113098	0.016955987844512865	7	0.093948010689722
378	52146	85	341.70542	-0.83176345	2.0377	31.514	1548.583	31.804	74.894	70.425	86.840	1544.291	8.069	19.001	20.229	7.434	1543.305	0.000	0.000	nan	33.673	19.615626176682326	2	0.9611636904084304	1537.996	2221.901	1548.583	-2063.640	46.777908459732934	0.0014037506290475454	46.6333883311024	0.001932280827895055	9.455234966938526	0.023267062064401368	7	0.0747847846346395
515	52051	310	177.2514	1.8547679	2.0619	33.518	1543.903	11.225	26.433	28.136	33.536	1543.781	11.218	26.417	28.119	14.280	1563.131	33.898	79.824	70.191	36.452	29.603808203201652	3	0.9703151800058682	1539.959	1842.196	1563.131	-4511.137	46.77164686410611	0.0016067044047341605	46.60667987562293	0.001494467760948279	9.654309325936946	0.04165351846146963	7	0.08880273946924507
645	52203	250	349.29934	-10.563913	1.9977	24.650	1548.709	6.340	14.929	15.896	59.197	1542.210	12.029	28.326	30.146	33.571	1555.857	26.308	61.950	61.649	38.512	33.146114141970656	3	0.9717748498825495	1544.229	1015.930	1555.857	-2257.336	46.88356762702894	0.0013202909314425754	46.51974321192577	0.0036443955072466686	9.753212939496258	0.032070276552266706	7	0.10247465559821206
648	52559	123	356.47729	-11.075566	1.9381	20.569	1548.683	11.561	27.224	28.979	34.117	1543.206	13.725	32.320	34.373	10.174	1547.511	39.710	93.510	78.542	40.364	34.50322178564829	3	0.94414279724188	1543.950	1069.890	1547.511	-691.354	46.717300270195025	0.0019715311155604296	46.40637857868375	0.003652733765744556	9.756751514630066	0.02230246364483465	7	0.10247498957026635
682	52525	509	354.6953	0.5375269	2.1016	8.961	1570.350	0.000	0.000	nan	8.961	1570.350	0.000	0.000	nan	5.377	1570.350	0.000	0.000	nan	nan	0.0	0	-0.021835030269777178	1500.079	9557.985	0.000	-9999.000	45.52625056322757	0.007775510746946867	-999.0	-999.0	8.21876716636052	0.19848415264704275	7	0.9632369120916159
918	52404	569	217.80478	-0.87734649	1.6369	25.825	1548.096	13.333	31.398	33.415	3.743	1568.943	22.381	52.704	51.246	23.067	1542.755	4.182	9.849	10.484	26.460	21.55288428950439	3	0.8644281505084108	1539.949	1844.114	1568.943	-5644.538	-999.0	-999.0	45.744776815608034	0.006064329464010512	8.94856463205014	0.09588997558034054	6	0.08195605975498295
997	52734	97	154.61606	5.5083329	1.9383	6.993	1550.368	1.988	4.682	4.992	13.143	1552.539	9.308	21.919	23.334	7.737	1560.293	22.703	53.461	54.302	28.346	0.0	3	0.8186301081084288	1545.980	677.198	1560.293	-2775.602	45.9873923358232	0.005049270603300131	46.08514762722273	0.011267802551704613	8.86868762836358	0.12828715324830817	6	0.16515475319688616
1828	53504	300	217.95039	5.5994716	2.0966	49.101	1560.333	33.041	77.806	70.285	118.589	1542.769	12.212	28.757	30.604	100.437	1548.405	4.914	11.571	12.320	32.706	23.446691835511047	3	0.9927570342925726	1546.019	669.607	1560.333	-2775.610	47.07656883429073	0.0010875893981113012	-999.0	-999.0	9.599007993884424	0.032879646380343755	7	0.10165896289333315
