# plate	mjd	fiber	RA	DEC	REDSHIFT	A1	wl1	sigma1	FWHM1	EW1	A2	wl2	sigma2	FWHM2	EW2	A3	wl3	sigma3	FWHM3	EW3	EW_T	FWHM_T	g_no	R2	wl_T	vel_peak	wl_broad	vel_broad	LOG_L1350	LOG_L1350_ERR	LOG_L3000	LOG_L3000_ERR	LOG_MBH	LOG_MBH_ERR	Band	Cont_sens
266	51630	628	147.23886	0.37375648	0.5846	10.036	2814.654	0.000	0.000	nan	10.036	2814.654	0.000	0.000	nan	6.021	2814.654	0.000	0.000	nan	nan	0.0	0	-0.16472354928076127	2700.103	10604.662	0.000	-9999.000	-999.0	-999.0	45.10705239785837	0.002814023243218509	8.186871374989277	0.1396030164265825	6	0.1651551194542777
285	51930	114	180.42602	-0.27775702	1.9935	8.522	2796.032	14.553	34.270	36.480	8.503	2811.464	33.824	79.650	84.352	4.879	2791.657	161.927	381.309	187.578	91.770	74.36758077948662	3	0.7623810105446301	2797.182	207.245	2791.657	592.102	46.75607782430026	0.0020535432026270815	46.305147267206166	0.0026133690112559826	9.63710252217828	0.08376658199162153	7	0.0939482087284993
288	52000	516	185.16436	0.074346416	2.0474	11.587	2810.120	21.532	50.705	53.978	25.177	2798.604	12.329	29.034	30.909	8.765	2789.558	55.204	129.995	127.859	57.370	40.998831628153766	3	0.9481085204421394	2798.147	103.921	2789.558	920.222	46.82688299993151	0.0012250002371783158	46.61119353254065	0.0011891279576729916	9.646079303113098	0.016955987844512865	7	0.093948010689722
334	51993	640	188.00007	-2.4013291	1.0432	13.295	2815.807	14.114	33.235	35.379	33.194	2793.677	48.013	113.061	115.578	61.258	2799.334	10.401	24.493	26.078	58.369	36.78606320949439	3	0.9848471269913096	2798.267	91.047	2793.677	491.789	-999.0	-999.0	46.138057974886586	0.0008735981360372212	9.171754371226967	0.02896000884144015	6	0.06158203273159936
378	52146	85	341.70542	-0.83176345	2.0377	4.696	2809.429	100.565	236.813	170.261	22.065	2797.683	16.482	38.811	41.319	1.079	2797.898	0.000	0.000	nan	64.026	50.921244773210674	2	0.7701805147854693	2792.899	665.999	2809.429	-1774.385	46.777908459732934	0.0014037506290475454	46.6333883311024	0.001932280827895055	9.455234966938526	0.023267062064401368	7	0.0747847846346395
475	51965	331	141.23263	2.3236109	1.5225	11.069	2799.546	0.000	0.000	nan	22.132	2801.271	13.777	32.442	34.535	0.000	2798.328	32.349	76.177	nan	34.535	26.942297758149834	1	0.9065225271231149	2798.780	36.081	0.000	-9999.000	-999.0	-999.0	45.96995386896107	0.0024433640848866406	8.764160941543878	0.10662065903877647	6	0.04662350711197952
515	52051	310	177.2514	1.8547679	2.0619	22.709	2791.737	0.000	0.000	nan	22.709	2791.737	0.000	0.000	nan	13.625	2791.737	0.000	0.000	nan	nan	0.0	0	-0.1022346771545255	2700.281	10585.623	0.000	-9999.000	46.77164686410611	0.0016067044047341605	46.60667987562293	0.001494467760948279	9.654309325936946	0.04165351846146963	7	0.08880273946924507
645	52203	250	349.29934	-10.563913	1.9977	13.166	2802.151	32.928	77.540	82.328	14.245	2808.440	14.028	33.034	35.172	0.000	2804.654	101.006	237.852	nan	58.280	49.83015995358119	2	0.7830439093766712	2806.802	-823.077	2802.151	496.767	46.88356762702894	0.0013202909314425754	46.51974321192577	0.0036443955072466686	9.753212939496258	0.032070276552266706	7	0.10247465559821206
648	52559	123	356.47729	-11.075566	1.9381	19.362	2811.746	16.054	37.803	40.246	4.379	2798.326	47.002	110.681	113.852	0.000	2807.036	62.798	147.878	nan	54.208	46.569553068178266	2	0.8504705197887197	2810.822	-1253.651	2798.326	1332.786	46.717300270195025	0.0019715311155604296	46.40637857868375	0.003652733765744556	9.756751514630066	0.02230246364483465	7	0.10247498957026635
682	52525	509	354.6953	0.5375269	2.1016	21.916	2803.600	0.000	0.000	nan	21.916	2803.600	0.000	0.000	nan	13.150	2803.600	0.000	0.000	nan	nan	0.0	0	-0.010796272084278025	2699.692	10648.683	0.000	-9999.000	45.52625056322757	0.007775510746946867	-999.0	-999.0	8.21876716636052	0.19848415264704275	7	0.9632369120916159
