# LOW  HIGH t8_MgII_final_COUNT t10_MgII_final_COUNT
  0.0  0.25 0.0                 0.0                 
  0.25 0.5  0.0                 0.0625              
  0.5  0.75 0.0                 0.1875              
  0.75 1.0  0.14285714285714285 0.25                
  1.0  1.25 0.2857142857142857  0.5                 
  1.25 1.5  0.8571428571428571  0.125               
  1.5  1.75 0.5714285714285714  0.4375              
  1.75 2.0  0.5714285714285714  0.875               
  2.0  2.25 1.0                 1.0                 
  2.25 2.5  1.0                 0.625               
  2.5  2.75 0.14285714285714285 0.25                
  2.75 3.0  0.0                 0.0                 
